%                                                       MEASUREMENT OF THE Y(1S), Y(2S) AND Y(3S) POLARIZATIONS
%                                                                 IN PP COLLISIONS AT SQRT(S) = 7 TeV
%
%                                                                        SUPPLEMENTAL MATERIAL
%
%
%These tables list the results of the angular anisotropy parameters Lambda-Theta, Lambda-Phi, Lambda-Theta-Phi and the frame-invariant parameter Lambda-Tilde, for the Y(nS)
%states in the Collins-Soper (CS), helicity (HX), and perpendicular helicity (PX) frames, along with their total uncertainties (TU) (68.3%, 95.5%, and 99.7% CL) and statistical
%uncertainties (SU) only (68.3% CL) for different bins of Y transverse momentum pT and rapidity y.
%
%Column headings are:
%      pT-min: lower border of Y transverse momentum (GeV)
%      pT-max: upper border of Y transverse momentum (GeV)
%     |y|-min: lower border of Y rapidity
%     |y|-max: upper border of Y rapidity
%    Lambda-*: central value of the result
%-T.U.68.3%CL: negative total uncertainty, 68.3% CL
%+T.U.68.3%CL: positive total uncertainty, 68.3% CL
%-T.U.95.5%CL: negative total uncertainty, 95.5% CL
%+T.U.95.5%CL: positive total uncertainty, 95.5% CL
%-T.U.99.7%CL: negative total uncertainty, 99.7% CL
%+T.U.99.7%CL: positive total uncertainty, 99.7% CL
%-S.U.68.3%CL: negative statistical uncertainty, 68.3% CL
%+S.U.68.3%CL: positive statistical uncertainty, 68.3% CL
%
%
Table Lambda-Theta, CS frame, Y(1S):
pT-min   pT-max   |y|-min   |y|-max     Lambda-Theta     -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  20       30       0.6       1.2          -0.140           -0.110          +0.105         -0.214         +0.209         -0.318         +0.320         -0.078         +0.078
  30       50       0.6       1.2           0.080           -0.154          +0.159         -0.294         +0.323         -0.427         +0.502         -0.143         +0.149

Table Lambda-Theta, CS frame, Y(2S):
pT-min   pT-max   |y|-min   |y|-max     Lambda-Theta     -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6          -0.137           -0.093          +0.087         -0.181         +0.175         -0.264         +0.263         -0.041         +0.047
  12       16       0.0       0.6          -0.189           -0.085          +0.079         -0.165         +0.159         -0.245         +0.239         -0.033         +0.034
  16       20       0.0       0.6          -0.103           -0.084          +0.077         -0.161         +0.158         -0.238         +0.243         -0.045         +0.049
  20       30       0.0       0.6          -0.129           -0.077          +0.072         -0.150         +0.148         -0.222         +0.225         -0.047         +0.049
  30       50       0.0       0.6          -0.214           -0.098          +0.098         -0.186         +0.201         -0.268         +0.310         -0.076         +0.085
  10       12       0.6       1.2          -0.090           -0.120          +0.110         -0.219         +0.209         -0.304         +0.309         -0.051         +0.053
  12       16       0.6       1.2          -0.135           -0.080          +0.075         -0.158         +0.153         -0.232         +0.231         -0.039         +0.040
  16       20       0.6       1.2          -0.092           -0.087          +0.082         -0.167         +0.166         -0.243         +0.250         -0.053         +0.056
  20       30       0.6       1.2          -0.259           -0.074          +0.066         -0.140         +0.139         -0.210         +0.209         -0.043         +0.044
  30       50       0.6       1.2          -0.200           -0.098          +0.098         -0.185         +0.201         -0.273         +0.309         -0.078         +0.082

Table Lambda-Phi, CS frame, Y(2S):
pT-min   pT-max   |y|-min   |y|-max      Lambda-Phi      -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6           0.131           -0.117          +0.103         -0.227         +0.208         -0.337         +0.301         -0.069         +0.051
  12       16       0.0       0.6           0.172           -0.095          +0.082         -0.182         +0.168         -0.268         +0.250         -0.050         +0.039
  16       20       0.0       0.6           0.092           -0.078          +0.067         -0.153         +0.133         -0.227         +0.197         -0.061         +0.046
  20       30       0.0       0.6           0.080           -0.061          +0.049         -0.119         +0.102         -0.180         +0.154         -0.054         +0.044
  30       50       0.0       0.6           0.145           -0.080          +0.068         -0.162         +0.135         -0.243         +0.198         -0.076         +0.060
  10       12       0.6       1.2           0.040           -0.110          +0.100         -0.204         +0.189         -0.288         +0.265         -0.060         +0.048
  12       16       0.6       1.2           0.034           -0.074          +0.063         -0.138         +0.127         -0.206         +0.188         -0.050         +0.038
  16       20       0.6       1.2          -0.027           -0.077          +0.061         -0.149         +0.127         -0.225         +0.186         -0.066         +0.052
  20       30       0.6       1.2           0.151           -0.055          +0.046         -0.107         +0.095         -0.162         +0.145         -0.047         +0.040
  30       50       0.6       1.2           0.121           -0.080          +0.063         -0.158         +0.130         -0.237         +0.190         -0.077         +0.062

Table Lambda-Theta-Phi, CS frame, Y(2S):
pT-min   pT-max   |y|-min   |y|-max   Lambda-Theta-Phi   -T.U.68.3%CL    +T.U.68.3%CL   -T.U.95.5%CL   +T.U.95.5%CL   -T.U.99.7%CL   +T.U.99.7%CL   -S.U.68.3%CL   +S.U.68.3%CL
  10       12       0.0       0.6          -0.058           -0.048          +0.043         -0.093         +0.088         -0.138         +0.134         -0.037         +0.033
  12       16       0.0       0.6          -0.001           -0.037          +0.033         -0.074         +0.069         -0.108         +0.106         -0.025         +0.024
  16       20       0.0       0.6          -0.009           -0.039          +0.034         -0.077         +0.072         -0.112         +0.108         -0.031         +0.028
  20       30       0.0       0.6          -0.052           -0.036          +0.031         -0.069         +0.066         -0.101         +0.097         -0.031         +0.028
  30       50       0.0       0.6          -0.065           -0.055          +0.049         -0.104         +0.098         -0.156         +0.147         -0.052         +0.046
  10       12       0.6       1.2          -0.062           -0.067          +0.059         -0.127         +0.122         -0.184         +0.182         -0.045         +0.041
  12       16       0.6       1.2           0.002           -0.044          +0.040         -0.084         +0.082         -0.125         +0.122         -0.032         +0.030
